phon	freq	word	grammar	id
)	1.0	Ae	N	2
as	1.0	Aas	N	7
&bOnir@n	1.0	abonnieren	N	477
&pzOrp=ion	1.0	Absorption	N	710
&gav@	1.0	Agave	N	1257
&gil	1.0	agil	N	1280
al@	1.0	Ahle	N	1321
am@n	1.0	ahmen	N	1322
an	1.0	Ahn	N	1326
ahOrn	1.0	Ahorn	N	1347
)r	1.0	Air	N	1354
&kribi	1.0	Akribie	N	1407
&lbino	1.0	Albino	N	1521
&lbUm	1.0	Album	N	1523
&lg@	1.0	Alge	N	1544
&lk	1.0	Alk	N	1573
&legori	1.0	Allegorie	N	1609
&l@rhailIg@n	1.0	Allerheiligen	N	1652
&lm	1.0	Alm	N	1767
&lm&n&x	1.0	Almanach	N	1768
&lm&ndin	1.0	Almandin	N	1769
&lmoz@n	1.0	Almosen	N	1771
&mbOs	1.0	Amboss	N	1955
amEn	1.0	amen	N	1969
&mpUl@	1.0	Ampulle	N	2044
&mz@l	1.0	Amsel	N	2047
&nErbit@n	1.0	Anerbieten	N	2287
&nf&x@n	1.0	anfachen	N	2298
&N@r	1.0	Anger	N	2391
&nhaimStEl@n	1.0	anheimstellen	N	2496
&nm&rS	1.0	Anmarsch	N	2635
&nomali	1.0	Anomalie	N	2695
&ntologi	1.0	Anthologie	N	2993
&ntinomi	1.0	Antinomie	N	3046
&ntip&ti	1.0	Antipathie	N	3049
&p&ti	1.0	Apathie	N	3204
ar	1.0	Ar	N	3339
ara	1.0	Ara	N	3340
&ral	1.0	Aral	N	3351
&rboretUm	1.0	Arboretum	N	3426
&rkad@	1.0	Arkade	N	3505
&rmada	1.0	Armada	N	3518
&rS	1.0	Arsch	N	3584
&rzen	1.0	Arsen	N	3590
&sErtorIS	1.0	assertorisch	N	3713
&st@r	1.0	Aster	N	3747
&strologi	1.0	Astrologie	N	3777
)t@r	1.0	Aether	N	3825
&tEst	1.0	Attest	N	3887
&tr&p@	1.0	Attrappe	N	3899
E=@n	1.0	aetzen	N	3904
au@rOks@	1.0	Auerochse	N	3924
augUr	1.0	Augur	N	4558
ausErkor@n	1.0	auserkoren	N	4693
ausg@fUkst	1.0	ausgefuchst	N	4776
aust@r	1.0	Auster	N	5421
ave	1.0	Ave	N	5622
&=ur	1.0	Azur	N	5656
b&k@n	1.0	backen	N	5670
b&jonEt	1.0	Bajonett	N	5743
b&r@	1.0	Barre	N	5928
b&r@n	1.0	Barren	N	5930
b&stai	1.0	Bastei	N	5984
bauS@n	1.0	bauschen	N	6098
bauS	1.0	Bausch	N	6099
b&=IlUs	1.0	Bazillus	N	6120
ber@	1.0	Beere	N	6275
b@hEnt	1.0	behend	N	6488
b@hEnd@	1.0	behende	N	6489
b@zud@ln	1.0	besudeln	N	7214
bib@r	1.0	Biber	N	7438
bist	1.0	Biest	N	7469
bIm@ln	1.0	bimmeln	N	7532
bInz@	1.0	Binse	N	7558
bl|k@n	1.0	bloeken	N	7786
blUf@n	1.0	bluffen	N	7803
b|@	1.0	Boee	N	7897
bon@r	1.0	Bohner	N	7913
bOn=@	1.0	Bonze	N	7953
bor	1.0	Bor	N	7958
bOrg@n	1.0	borgen	N	7972
bOrk@	1.0	Borke	N	7975
bOrst@	1.0	Borste	N	7987
b/tx@r	1.0	Boettcher	N	8021
br&nd@n	1.0	branden	N	8072
br&ntvain	1.0	Branntwein	N	8082
bratS@	1.0	Bratsche	N	8098
briz@	1.0	Brise	N	8225
brod@ln	1.0	brodeln	N	8233
bYks	1.0	Buchs	N	8330
bYklIN	1.0	Bueckling	N	8348
bYf@ln	1.0	bueffeln	N	8357
bUksir@n	1.0	bugsieren	N	8367
bUmz@n	1.0	bumsen	N	8395
bYrg@	1.0	Buerge	N	8424
b&tl@r	1.0	Butler	N	8460
JElo	1.0	Cello	N	8488
klorofOrm	1.0	Chloroform	N	8522
d&ks	1.0	Dachs	N	8584
d)mlIx	1.0	daemlich	N	8625
d&rb@n	1.0	darben	N	8665
defl&=ion	1.0	Deflation	N	8754
dEftIx	1.0	deftig	N	8759
deg@n	1.0	Degen	N	8760
dEl@	1.0	Delle	N	8815
dEsoriEntirt	1.0	desorientiert	N	8958
di&gnOsti=ir@n	1.0	diagnostizieren	N	9030
diz@l	1.0	Diesel	N	9111
dizIx	1.0	diesig	N	9116
dOxt	1.0	Docht	N	9279
dOg@	1.0	Dogge	N	9286
dof	1.0	doof	N	9326
d|z@n	1.0	doesen	N	9373
dr&l	1.0	Drall	N	9396
drOSk@	1.0	Droschke	N	9493
drOs@l	1.0	Drossel	N	9496
dUft@	1.0	dufte	N	9534
dUN	1.0	Dung	N	9547
dUrxv&ks@n	1.0	durchwachsen	N	9810
efOy	1.0	Efeu	N	9951
aix@n	1.0	eichen	N	10031
aid@r	1.0	Eider	N	10044
ainbYrg@rn	1.0	einbuergern	N	10179
aing@dENk	1.0	eingedenk	N	10263
ainmYnd@n	1.0	einmuenden	N	10424
ain|d@	1.0	Einoede	N	10434
ainrYk@n	1.0	einruecken	N	10477
ainSib@n	1.0	einschieben	N	10511
ainSmEl=@n	1.0	einschmelzen	N	10532
Elx	1.0	Elch	N	10842
emIr	1.0	Emir	N	10930
Enklav@	1.0	Enklave	N	11030
EntSt&linizirUN	1.0	Entstalinisierung	N	11302
EntvIS@n	1.0	entwischen	N	11364
Ergeb@nst	1.0	ergebenst	N	11599
Erg/=@n	1.0	ergoetzen	N	11614
Erlauxt	1.0	erlaucht	N	11714
Erl@	1.0	Erle	N	11721
ES@	1.0	Esche	N	12116
Eskimo	1.0	Eskimo	N	12121
EskOrt@	1.0	Eskorte	N	12122
Est@r	1.0	Ester	N	12153
Estrad@	1.0	Estrade	N	12155
Oyrovizion	1.0	Eurovision	N	12212
Oyt@r	1.0	Euter	N	12213
f)x@ln	1.0	faecheln	N	12419
fat	1.0	fad	N	12444
f)nrIx	1.0	Faehnrich	N	12465
f&rn	1.0	Farn	N	12608
f&zan	1.0	Fasan	N	12612
faz@ln	1.0	faseln	N	12620
f&st@n	1.0	fasten	N	12646
f&ks@	1.0	Faxe	N	12682
feg@fOy@r	1.0	Fegefeuer	N	12706
fail	1.0	feil	N	12747
fail@	1.0	Feile	N	12750
failS@n	1.0	feilschen	N	12752
faist	1.0	feist	N	12779
fIxt@	1.0	Fichte	N	13031
fIl=	1.0	Filz	N	13093
