phon	freq	word	grammar	id
{b@rI_@nI	1.0	aborigine	N	89
{lb	1.0	alb	N	970
{lIm@nt	1.0	aliment	N	1036
{mb@sk1d	1.0	ambuscade	N	1260
{ndr@_#In	1.0	androgyne	N	1422
{n5d	1.0	anode	N	1536
@r{knId	1.0	arachnid	N	1908
#kwIb@s	1.0	arquebus	N	2060
$g@R	1.0	augur	N	2512
b#nj5	1.0	bagnio	N	2882
b{n@k	1.0	bannock	N	3069
b{zIlIsk	1.0	basilisk	N	3248
bIf	1.0	biff	N	3886
bIsk	1.0	bisque	N	4065
bl1zH	1.0	blazon	N	4222
blip	1.0	bleep	V	4243
b@lE@r5	1.0	bolero	N	4595
bQl@r5	1.0	bolero	N	4596
bugI	1.0	boogie	N	4691
buhu	1.0	boohoo	N	4694
bul	1.0	buhl	N	5537
bVmf	1.0	bumf	N	5618
bUr5	1.0	burro	N	5739
k{l@m#In	1.0	calamine	N	5977
k#d@m@m	1.0	cardamom	N	6365
J{mp1n	1.0	champaign	N	6976
SiSi	1.0	chichi	A	7259
kQr#l	1.0	chorale	N	7451
sItr@s	1.0	citrus	N	7640
sIvIt	1.0	civet	N	7647
kl{vIkP	1.0	clavicle	N	7775
klEf	1.0	clef	N	7833
klErIhju	1.0	clerihew	N	7847
kQbP	1.0	cobble	V	8131
kQklI@	1.0	cochlea	N	8144
kQgn5mEn	1.0	cognomen	N	8259
kQmplIn	1.0	compline	N	8810
k5pEk	1.0	copeck	N	9662
kQpjUl@	1.0	copula	N	9691
k$m	1.0	corm	N	9756
kum	1.0	cwm	N	10939
d1d5	1.0	dado	N	11019
d#I@t@m	1.0	diatom	N	12277
dIbP	1.0	dibble	N	12283
dQdP	1.0	doddle	N	13170
d5_	1.0	doge	N	13192
dr{km@	1.0	drachma	N	13518
drVgIt	1.0	drugget	N	13760
dr#I@d	1.0	dryad	N	13786
dVNg@ri	1.0	dungaree	N	13912
EklQg	1.0	eclogue	N	14164
3g	1.0	erg	N	15115
Est@R	1.0	ester	N	15215
juf5nj@m	1.0	euphonium	N	15283
fElVk@	1.0	felucca	N	16390
flu$R	1.0	fluor	N	17223
fQnd@nt	1.0	fondant	N	17381
f3l5	1.0	furlough	N	18319
g{mbuZ	1.0	gamboge	N	18481
g@vQt	1.0	gavotte	N	18648
g@zVmp	1.0	gazump	V	18665
gr1tIs	1.0	gratis	B	19574
grIfH	1.0	griffon	N	19698
gr5t	1.0	groat	N	19746
hih$	1.0	heehaw	N	20848
h5ks	1.0	hoax	V	21309
hQbnQb	1.0	hobnob	V	21321
huI	1.0	hooey	N	21532
hUr1	1.0	hooray	N	21550
hul@	1.0	hula	N	21849
h#Ip5	1.0	hypo	N	22057
IbId	1.0	ibid	B	22093
Iknjum@n	1.0	ichneumon	N	22137
#Idz	1.0	ides	N	22179
#IlEks	1.0	ilex	N	22229
_1p	1.0	jape	N	24257
_$nt	1.0	jaunt	V	24271
_Er@b5@m	1.0	jeroboam	N	24332
_Qk@nd	1.0	jocund	A	24439
k@zu	1.0	kazoo	N	24692
k@fVfP	1.0	kerfuffle	N	24743
k#IbQS	1.0	kibosh	N	24776
n#Ut	1.0	knout	N	24995
kv#s	1.0	kvass	N	25055
l@tin	1.0	lateen	A	25370
l#tI	1.0	lathi	N	25388
l1v	1.0	lave	V	25455
lEnt5	1.0	lento	A	25775
l#It5tiz	1.0	litotes	N	26302
lItr@t3R	1.0	litterateur	N	26306
lud5	1.0	ludo	N	26826
m{fIk	1.0	maffick	V	27027
m1n_	1.0	mange	N	27302
m#l	1.0	marl	N	27506
m#m@t	1.0	marmot	N	27512
m{stIf	1.0	mastiff	N	27650
migrIm	1.0	megrim	N	27924
minINks	1.0	meninx	N	28003
m@nIsk@s	1.0	meniscus	N	28004
mEstiz5	1.0	mestizo	N	28121
mIlJ	1.0	milch	A	28341
mIlt	1.0	milt	N	28432
mIsQ_@nI	1.0	misogyny	N	28665
m5@	1.0	moa	N	28769
mQIl	1.0	moil	V	28859
mVlkt	1.0	mulct	V	29409
n#k	1.0	nark	N	29709
n$J	1.0	nautch	N	29815
njut@R	1.0	neuter	A	30054
nQdP	1.0	noddle	N	30331
nug#	1.0	nougat	N	30595
njumIzm{tIk	1.0	numismatic	A	30689
5bI@	1.0	obeah	N	30771
QbsIkwIz	1.0	obsequies	N	30841
5m	1.0	ohm	N	31055
QINk	1.0	oink	N	31086
5kr@	1.0	okra	N	31094
QlIg#k	1.0	oligarch	N	31139
$djU@R	1.0	ordure	N	31448
$rI5l	1.0	oriole	N	31489
p{kId3m	1.0	pachyderm	N	32025
p{lImpsEst	1.0	palimpsest	N	32161
p{Ng@	1.0	panga	N	32251
p{nt@lun	1.0	pantaloon	N	32274
p@p#I@	1.0	papaya	N	32300
p{sIm	1.0	passim	B	32594
p{v@n	1.0	pavane	N	32773
p$p$	1.0	pawpaw	N	32793
fin5b#bItP	1.0	phenobarbital	N	33502
fQz_in	1.0	phosgene	N	33586
pIl#U	1.0	pilau	N	33796
pImEnt5	1.0	pimento	N	33838
pIksI	1.0	pixie	N	34034
pl{kIt	1.0	placket	N	34062
plQNk	1.0	plonk	N	34300
plVNk	1.0	plunk	N	34378
pQmpQn	1.0	pompon	N	34652
pQnj@d	1.0	poniard	N	34672
pQtin	1.0	poteen	N	34931
prQsTIsIs	1.0	prosthesis	N	36035
psQr#I@sIs	1.0	psoriasis	N	36214
pUd	1.0	pud	N	36309
pVnIt	1.0	punnet	N	36469
p#I@rI@	1.0	pyorrhoea	N	36691
p#Ir#Itiz	1.0	pyrites	N	36697
kwQdrun	1.0	quadroon	N	36741
r{gu	1.0	ragout	N	37103
r{z@l	1.0	razzle	N	37386
rif	1.0	reef	V	37796
r#Iz5m	1.0	rhizome	N	38809
rQlIk	1.0	rollick	V	39187
s{S1	1.0	sashay	V	40068
s{s	1.0	sass	N	40072
sk{lIw{g	1.0	scallywag	N	40227
sk{pjUl@	1.0	scapula	N	40258
sk{r@b	1.0	scarab	N	40261
sIntIl@	1.0	scintilla	N	40380
skrid	1.0	screed	N	40512
skrIp	1.0	scrip	N	40539
sEp@l	1.0	sepal	N	41153
sI@rI1tIm	1.0	seriatim	B	41218
s3vP	1.0	serval	N	41237
s3vIEt	1.0	serviette	N	41256
sEkstjUpl@t	1.0	sextuplet	N	41367
Sil@	1.0	sheila	N	41562
sIEn@	1.0	sienna	N	42034
sIrQk5	1.0	sirocco	N	42272
skIfP	1.0	skiffle	N	42394
smVt	1.0	smut	V	42911
sQlId@s	1.0	solidus	N	43264
subrIk1	1.0	soubriquet	N	43415
sut#n	1.0	soutane	N	43478
spEkP	1.0	speckle	N	43674
spIv	1.0	spiv	N	43842
spl{t	1.0	splat	N	43850
st#k@z	1.0	starkers	A	44350
stINg5	1.0	stingo	N	44654
stInt	1.0	stint	V	44664
str5fI	1.0	strophe	N	45041
st3_@n	1.0	sturgeon	N	45129
st#ImI	1.0	stymie	N	45150
sVfr@g@n	1.0	suffragan	A	45374
