phon	freq	word	grammar	id
aj	1.0	aai	N	8
ak	1.0	aak	N	11
ars	1.0	aars	N	1308
Abe	1.0	abbe	N	1335
Akrobat	1.0	acrobaat	N	1984
aGav@	1.0	agave	N	3891
akela	1.0	akela	N	4033
AlG@bra	1.0	algebra	N	4253
AlGorItm@	1.0	algoritme	N	4268
AlmanAk	1.0	almanak	N	4461
Alt	1.0	alt	N	4544
alLn	1.0	aluin	N	4588
Alf	1.0	alf	N	4599
Amb@r	1.0	amber	N	4708
am@	1.0	amen	N	4804
amis	1.0	amice	N	4846
amigo	1.0	amigo	N	4849
am|b@	1.0	amoebe	N	4868
amOk	1.0	amok	N	4871
an@mon	1.0	anemoon	N	5075
ANG@l}s	1.0	angelus	N	5096
anEIs	1.0	anijs	N	5164
ANk@r@	1.0	ankeren	V	5196
anorAk	1.0	anorak	N	5263
Anti	1.0	anti	P	5307
Antilop@	1.0	antilope	N	5359
aOrta	1.0	aorta	N	5483
ApEndIks	1.0	appendix	N	5653
Ar	1.0	ar	A	5718
Ar@	1.0	arren	V	5720
ara	1.0	ara	N	5721
Arser@	1.0	arceren	V	5929
areja	1.0	area	N	5989
arija	1.0	aria	N	6034
Armada	1.0	armada	N	6064
Arsen	1.0	arseen	N	6193
ArtiSOk	1.0	artisjok	N	6245
ASrAm	1.0	ashram	N	6342
Aspirintj@	1.0	aspirientje	N	6396
Ast@r	1.0	aster	N	6483
atrij}m	1.0	atrium	N	6645
Mditsi	1.0	auditie	N	6707
ave	1.0	ave	N	6932
AjatOla	1.0	ayatollah	N	7080
azaleja	1.0	azalea	N	7082
ba	1.0	ba	N	7123
bal@	1.0	balen	V	7145
baba	1.0	baba	N	7252
babu	1.0	baboe	N	7270
bAkara	1.0	baccarat	N	7295
bAG@r	1.0	bagger	N	7423
bAG@r@	1.0	baggeren	V	7424
baj@s	1.0	bajes	N	7456
bak@n@	1.0	bakenen	V	7485
bAljyw	1.0	baljuw	N	7633
bAlk@	1.0	balken	V	7636
bAls@m@	1.0	balsemen	V	7730
banir	1.0	banier	N	7891
baritOn	1.0	bariton	N	8072
bArk	1.0	bark	N	8080
bArn	1.0	barn	N	8093
bAs@	1.0	bassen	V	8167
basAlt	1.0	basalt	N	8169
bAstijOn	1.0	bastion	N	8362
batOn	1.0	baton	N	8394
bAvijan	1.0	baviaan	N	8418
bazLn	1.0	bazuin	N	8433
bemt	1.0	beemd	N	8996
b@Gonija	1.0	begonia	N	9211
bEIt@l@	1.0	beitelen	V	9474
bEIts@	1.0	beitsen	V	9477
bEN@l	1.0	bengel	N	10194
bejo	1.0	beo	N	10263
b@sOnj@	1.0	besogne	N	10927
b)ta	1.0	beta	N	11212
bet@	1.0	bete	N	11258
bils	1.0	biels	N	12146
bIG@l@	1.0	biggelen	V	12230
bEIt	1.0	bijt	N	12497
bIl@	1.0	billen	V	12581
bIljArt	1.0	biljart	N	12592
bIljArt@	1.0	biljarten	V	12593
bINk	1.0	bink	N	12659
bInt	1.0	bint	N	12802
bIps	1.0	bips	N	12864
bIskwi	1.0	biscuit	N	12876
bivAk	1.0	bivak	N	12940
bizOn	1.0	bizon	N	12946
blax	1.0	blaag	N	12949
blat@	1.0	blaten	V	12981
blAd@r@	1.0	bladderen	V	13000
blMw@	1.0	blauwen	V	13103
blazun	1.0	blazoen	N	13137
bler@	1.0	bleren	V	13163
blik	1.0	bliek	N	13186
bliv@	1.0	blieven	V	13188
blIks@m@	1.0	bliksemen	V	13232
blOk@	1.0	blokken	V	13559
bl}b@r	1.0	blubber	N	13638
bl}nd@r@	1.0	blunderen	V	13649
bl}t	1.0	blut	A	13660
bl}ts@	1.0	blutsen	V	13663
bOp	1.0	bob	N	13668
bOf	1.0	bof	N	14166
boh)m@	1.0	boheme	N	14182
bOk@	1.0	bokken	V	14196
bolero	1.0	bolero	N	14273
bom@	1.0	bomen	V	14581
bOrn	1.0	born	N	14795
bOt@	1.0	botten	V	14949
bot@r@	1.0	boteren	V	14962
bOjkOt	1.0	boycot	N	15304
bOjkOt@	1.0	boycotten	V	15305
brak	1.0	braak	A	15328
brAl@	1.0	brallen	V	15394
brEm	1.0	brem	N	15676
brItS	1.0	bridge	N	15730
bri	1.0	brie	N	15738
brIk	1.0	brik	N	15801
brOkoli	1.0	broccoli	N	15851
brut	1.0	broed	N	15868
brOk@	1.0	brokken	V	15950
brL	1.0	brui	N	16156
br}t	1.0	brut	A	16257
b}lk	1.0	bulk	N	16583
b}lk@	1.0	bulken	V	16584
b}l@t)	1.0	bulletin	N	16595
bit@	1.0	byte	N	16849
kAbrijolEt	1.0	cabriolet	N	16871
kamelija	1.0	camelia	N	17026
kamijOn	1.0	camion	N	17039
kAprijol	1.0	capriool	N	17142
kApySOn	1.0	capuchon	N	17149
kaput	1.0	caput	N	17150
kAsav@	1.0	cassave	N	17308
kavija	1.0	cavia	N	17430
sed@r	1.0	ceder	N	17442
sElo	1.0	cello	N	17486
sEs	1.0	ces	N	17620
SArlatAn	1.0	charlatan	N	17705
tSEk@	1.0	checken	V	17756
tSIk	1.0	chick	N	17817
Sili	1.0	chili	N	17827
xlor	1.0	chloor	N	17873
xol@ra	1.0	cholera	N	17920
sixorEI	1.0	cichorei	N	18063
sid@r	1.0	cider	N	18066
sEIf@r@	1.0	cijferen	V	18069
sitadEl	1.0	citadel	N	18198
klin	1.0	clean	A	18316
klIntS	1.0	clinch	N	18366
klon@	1.0	clonen	V	18385
klos	1.0	close	B	18388
klu	1.0	clou	N	18399
kobra	1.0	cobra	N	18453
kokOn	1.0	cocon	N	18475
kolOn	1.0	colon	N	18657
kOl@m	1.0	column	N	18678
kOndOr	1.0	condor	N	19157
kOnfEti	1.0	confetti	N	19192
kOnsinj@	1.0	consigne	N	19343
kOnto	1.0	conto	N	19541
kOrn@r	1.0	corner	N	19782
korona	1.0	corona	N	19790
kOridOr	1.0	corridor	N	19845
korife	1.0	coryfee	N	19878
kojot@	1.0	coyote	N	19976
krEp	1.0	crepe	N	20047
kru	1.0	crew	N	20061
krim@	1.0	crime	N	20070
kju	1.0	cue	N	20182
kwizin@	1.0	cuisine	N	20186
k}lpa	1.0	culpa	N	20196
k}p	1.0	cup	N	20307
kyrijos}m	1.0	curiosum	N	20341
dalija	1.0	dahlia	N	20656
dAr	1.0	dar	N	20873
dAr@	1.0	darren	V	20874
dArt@l	1.0	dartel	A	20917
dil	1.0	deal	N	20996
dil@	1.0	dealen	V	20997
debakl@	1.0	debacle	N	21000
dErv@	1.0	derven	V	21741
dijak@	1.0	diaken	N	22037
dIG@l	1.0	diggel	N	22539
dIk@	1.0	dikken	V	22603
dIm@	1.0	dimmen	V	22647
dIN@	1.0	dingen	V	22670
dIs	1.0	dis	N	22766
dIsk	1.0	disk	N	22834
dum	1.0	doem	N	23146
duz@l@	1.0	doezelen	V	23167
dOl@	1.0	dollen	V	23223
domino	1.0	domino	N	23323
dONk@r@	1.0	donkeren	V	23402
doj	1.0	dooi	N	23580
doj@	1.0	dooien	V	23581
dOp@	1.0	doppen	V	24030
dOrs@	1.0	dorsen	V	24090
dOrst@	1.0	dorsten	V	24100
dMw@	1.0	douwen	V	24152
dMns	1.0	downs	N	24164
drAp	1.0	drab	N	24289
drAm@	1.0	drammen	V	24329
drEIn@	1.0	dreinen	V	24402
drEnz@	1.0	drenzen	V	24423
drus@m	1.0	droesem	N	24691
drOst	1.0	drost	N	24851
drLs@	1.0	druisen	V	24908
dr}m	1.0	drum	N	25002
dr}m@	1.0	drummen	V	25003
dr}p	1.0	drup	N	25011
d}b@	1.0	dubben	V	25039
d}b@l@	1.0	dubbelen	V	25043
dutS@	1.0	duce	N	25115
dLx	1.0	duig	N	25138
d}mp@	1.0	dumpen	V	25344
d}n@	1.0	dunnen	V	25352
d}t@	1.0	dutten	V	25416
dyv@l	1.0	duvel	N	25435
ES@lOn	1.0	echelon	N	25652
elt	1.0	eelt	N	25805
Ef@n@	1.0	effenen	V	26135
elAnt	1.0	eland	N	26478
Eldorado	1.0	eldorado	N	26490
Elft	1.0	elft	N	26605
Els	1.0	els	N	26689
Empir@	1.0	empire	N	26807
Ent	1.0	end	N	26846
AnsAmbl@	1.0	ensemble	N	27009
Ent@r@	1.0	enteren	V	27015
erika	1.0	erica	N	27312
ErOr	1.0	error	N	27372
EskadrOn	1.0	eskadron	N	27470
EsprEso	1.0	espresso	N	27496
)tr@	1.0	etre	N	27615
Ets@	1.0	etsen	V	27617
EksEmp@l	1.0	exempel	N	27925
fAs	1.0	face	E	28262
fakIr	1.0	fakir	N	28329
fMn	1.0	faun	N	28571
fest@	1.0	feesten	V	28635
fEIl	1.0	feil	N	28684
figaro	1.0	figaro	N	28912
fIk	1.0	fik	N	28983
fin@	1.0	fine	N	29169
fInt	1.0	fint	N	29187
fIrmamEnt	1.0	firmament	N	29194
flakOn	1.0	flacon	N	29241
fl)r	1.0	flair	N	29254
flamINgo	1.0	flamingo	N	29269
flES	1.0	flash	N	29302
flat@r	1.0	flater	N	29307
flem@	1.0	flemen	V	29334
fl|r	1.0	fleur	N	29398
fl|r@	1.0	fleuren	V	29400
flIk@	1.0	flikken	V	29418
flIp@	1.0	flippen	V	29443
fl}rt	1.0	flirt	N	29453
flup@	1.0	floepen	V	29491
flOp	1.0	flop	N	29502
flOtilj@	1.0	flottielje	N	29538
flLm	1.0	fluim	N	29553
fnLk@	1.0	fnuiken	V	29624
fut@r@	1.0	foeteren	V	29649
futsi	1.0	foetsie	B	29651
f|n	1.0	fohn	N	29657
fOk	1.0	fok	N	29659
fOnt	1.0	fond	N	29713
fOp@	1.0	foppen	V	29788
forEns	1.0	forens	N	29812
fOrt@	1.0	forte	B	29870
frat@r	1.0	frater	N	30168
frAts	1.0	frats	N	30173
fr@GAt	1.0	fregat	N	30198
fr)l@	1.0	frele	A	30204
frim@l@	1.0	friemelen	V	30248
fris	1.0	fries	N	30256
frLt@	1.0	fruiten	V	30363
fr}n@k@	1.0	frunniken	V	30382
fr}ts@l@	1.0	frutselen	V	30390
fyGa	1.0	fuga	N	30399
fyror@	1.0	furore	N	30472
f}t	1.0	fut	N	30491
fyt	1.0	fuut	N	30508
xAb@r	1.0	gabber	N	30613
xalEI	1.0	galei	N	30680
xAlm	1.0	galm	N	30723
gem	1.0	game	N	30774
xArt	1.0	gard	N	30880
xArdenija	1.0	gardenia	N	30885
xazEl@	1.0	gazelle	N	31148
xep	1.0	geep	N	31762
xer	1.0	geer	N	31765
xew	1.0	geeuw	N	31834
xEIl@	1.0	geilen	V	32075
xEIn	1.0	gein	N	32084
xEIs@r	1.0	geiser	N	32101
Z@lEI	1.0	gelei	N	32452
xEms	1.0	gems	N	32966
Z)n@	1.0	gene	N	32998
x@nip	1.0	geniep	N	33091
xEntsijan	1.0	gentiaan	N	33153
xes@l	1.0	gesel	N	33650
xiGAnt	1.0	gigant	N	34864
Zigolo	1.0	gigolo	N	34869
xIlt	1.0	gild	N	34898
xirAf@	1.0	giraffe	N	34954
xiro	1.0	giro	N	34961
xIst@r	1.0	gister	B	34994
xlIb@r@	1.0	glibberen	V	35218
xlor@	1.0	gloren	V	35297
xnLv@	1.0	gnuiven	V	35367
xOnd@l	1.0	gondel	N	35706
xox@l@	1.0	goochelen	V	35724
xoj	1.0	gooi	N	35743
xuwAS@	1.0	gouache	N	35832
gulAS	1.0	goulash	N	35941
xoz@r	1.0	gozer	N	35971
xrMw@	1.0	grauwen	V	36299
grin	1.0	green	N	36364
xriv@	1.0	grieven	V	36480
